"","Subject","TimePoint","WholeHeadDice","WholeHeadVolume","Thickness","ThicknessIso","CorticalVolume","CerebellarVolume","HippocampalVolume","WholeHeadVolume.1"
"1","NR1_F",0,0.901286768907275,528.480041999818,0.912013141724267,1.02967129427094,146.576261648834,62.8425049942733,40.1512531909347,528.480041999818
"2","NR1_F",3,0.926609514204068,525.948791798652,0.969979541232239,1.06262996546059,154.215012255907,66.9600053215028,41.7262533161045,525.948791798652
"3","NR1_F",7,0.931049416484318,505.698790189327,0.976715604362815,1.06230352569683,156.375012427569,67.1400053358079,42.4012533697487,505.698790189327
"4","NR1_F",28,0.914203672338564,526.106291811169,0.947747143534581,1.05171275692495,148.702511817813,72.1237557318808,42.615003386736,526.106291811169
"5","NR1_F",56,0.911909194912403,524.778791705669,0.908479351316732,1.02326273281266,149.996261920631,72.5287557640673,41.3437532857061,524.778791705669
"6","NR1_F",140,0.92578332298312,510.041290534438,0.943216108820116,1.05030714994631,153.911262231767,65.3625051945449,43.2337534359098,510.041290534438
"7","NR10_M",0,0.919629971372465,493.751289239825,0.89691097287781,1.0504266324741,145.158761536181,65.2275051838161,40.9275032526255,493.751289239825
"8","NR10_M",3,0.944051221769252,444.363785314859,0.880444603963421,1.03638280027126,141.716261262596,66.1162552544476,40.8600032472611,444.363785314859
"9","NR10_M",7,0.837751366090178,569.925045293571,0.840373769494464,1.0279964611307,141.446261241138,65.6212552151085,41.3550032866002,569.925045293571
"10","NR10_M",28,0.904674237895995,491.040039024354,0.877946247400997,1.0376651556402,141.48001124382,64.4625051230193,40.7362532374263,491.040039024354
"11","NR10_M",56,0.91564602798083,479.913788140119,0.877812134623328,1.04196377592631,141.153761217892,64.6875051409007,40.7700032401086,479.913788140119
"12","NR10_M",140,0.924061463448939,502.852539963127,0.886620531625751,1.0191663647931,139.218761064112,64.5187551274897,41.816253323257,502.852539963127
"13","NR11_F",0,0.92956757768626,502.166289908589,0.928870328713833,1.04641664085594,145.642511574626,61.0537548521162,41.5800033044816,502.166289908589
"14","NR11_F",3,0.940535723127197,460.845036624671,0.875953146095993,1.02972302771551,140.625011175871,62.3925049585105,41.163753271401,460.845036624671
"15","NR11_F",7,0.9453768463421,452.351285949648,0.919302433636615,1.03913361199386,144.641261495054,62.1900049424172,42.2100033545495,452.351285949648
"16","NR11_F",28,0.925693469610311,503.628790024818,0.936963999696552,1.05858299162966,149.051261845529,62.4937549665571,41.6362533089519,503.628790024818
"17","NR11_F",56,0.938613815105232,492.210039117337,0.938213015792868,1.04659863560868,149.490011880398,64.4737551239134,41.4562532946468,492.210039117337
"18","NR11_F",140,0.926958327286529,523.06879156977,0.962608209795878,1.05898759848088,154.698762294352,60.5925048154593,44.5837535431982,523.06879156977
"19","NR12_F",0,0.920339813365515,495.371289368571,0.916856026492895,1.05079137681367,144.281261466444,61.2675048691035,39.3075031238795,495.371289368571
"20","NR12_F",3,0.950278401875549,460.361286586226,0.968597065669497,1.06152058588575,152.268762101233,58.9500046849252,40.0500031828881,460.361286586226
"21","NR12_F",7,0.835076555077909,554.557544072271,0.925570747389769,1.06178954774955,146.553761647046,59.4562547251583,39.1162531086803,554.557544072271
"22","NR12_F",28,0.907010775575363,482.996288385094,0.907177442458958,1.04235749312161,141.941261280477,61.5825048941375,40.353753207028,482.996288385094
"23","NR12_F",56,0.928273298025324,501.648789867462,0.936397287744831,1.04249318139501,147.645011733771,64.9237551596762,41.3100032830239,501.648789867462
"24","NR12_F",140,0.927832470266887,512.516290731133,0.961478586099376,1.04992611736413,151.908762072623,62.8650049960614,41.5237533000112,512.516290731133
"25","NR2_F",0,0.900877361204334,497.216289515198,0.870822402380496,1.02583452609984,139.106261055172,64.9575051623584,40.196253194511,497.216289515198
"26","NR2_F",3,0.910850215954375,497.362539526821,0.896900756019936,1.04243592905038,141.322511231303,64.3837551167608,40.5337532213331,497.362539526821
"27","NR2_F",7,0.911669905673792,495.382539369465,0.92618351243094,1.06015492067144,144.056261448562,67.9500054001809,40.7475032383204,495.382539369465
"28","NR2_F",28,0.905260934364475,500.861289804877,0.946675964404948,1.05498702429576,145.665011576414,67.792505387664,41.2875032812358,500.861289804877
"29","NR2_F",56,0.91563453184213,507.58879033953,0.922442177144532,1.04340769027393,147.195011698008,70.5937556102873,43.740003476143,507.58879033953
"30","NR2_F",140,0.921459650751291,505.035040136576,0.922567489089682,1.05428743169431,147.465011719465,58.8487546768785,42.4912533769012,505.035040136576
"31","NR3_F",0,0.917385510905393,498.656289629639,0.903484292232437,1.03820135530746,148.038761765063,66.4650052821637,43.59375346452,498.656289629639
"32","NR3_F",3,0.916604108373712,520.447541361452,0.914076777870539,1.04509668799828,148.736261820495,63.9787550845743,43.6725034707785,520.447541361452
"33","NR3_F",7,0.914807698945019,510.975040608645,0.910153231494645,1.02928250693697,146.913761675656,68.6700054574014,43.3012534412742,510.975040608645
"34","NR3_F",28,0.913141018377937,516.701291063727,0.949543723241623,1.04180389300851,150.806261985004,63.3262550327183,44.6062535449863,516.701291063727
"35","NR3_F",56,0.927509272851556,523.406291596592,0.918213999637861,1.03463180234622,149.377511871457,66.3300052714349,43.9762534949184,523.406291596592
"36","NR3_F",140,0.921409634945813,528.435041996241,0.904195549231021,1.03945301927066,150.592511968017,62.5387549701334,46.3162536808849,528.435041996241
"37","NR4_F",0,0.925979306546677,498.678789631427,0.82050638309275,1.01304770051474,143.572511410117,68.5912554511429,41.9400033330918,498.678789631427
