"Subject","TimePoint","WholeHeadDice","WholeHeadVolume","Thickness","ThicknessIso","CorticalVolume","CorticalIsoVolume","CerebellarVolume","HippocampalVolume","HippocampalIsoVolume","WholeHeadVolume.1"
"NR1_F",0,0.901286768907275,528.480041999818,0.919790355591745,1.28601810464013,146.576261648834,147.025142526761,62.8425049942733,40.1512531909347,40.4156298179181,528.480041999818
"NR1_F",3,0.926609514204068,525.948791798652,0.981171869180491,1.32251591506888,154.215012255907,153.40726828757,66.9600053215028,41.7262533161045,41.5665049551131,525.948791798652
"NR1_F",7,0.931049416484318,505.698790189327,0.993216066530574,1.32060330904246,156.375012427569,156.269268628747,67.1400053358079,42.4012533697487,42.2651300383957,505.698790189327
"NR1_F",28,0.914203672338564,526.106291811169,0.952496083876589,1.28168679238813,148.702511817813,148.20976766798,72.1237557318808,42.615003386736,42.6498800842615,526.106291811169
"NR1_F",56,0.911909194912403,524.778791705669,0.908760010345129,1.2519091967093,149.996261920631,148.648517720283,72.5287557640673,41.3437532857061,41.5766299563201,524.778791705669
"NR1_F",140,0.92578332298312,510.041290534438,0.957457598134459,1.29797919596972,153.911262231767,153.727893325791,65.3625051945449,43.2337534359098,43.1628801454159,510.041290534438
"NR10_M",0,0.919629971372465,493.751289239825,0.919689712317563,1.2886687454176,145.158761536181,145.175642306284,65.2275051838161,40.9275032526255,40.658629846886,493.751289239825
"NR10_M",3,0.944051221769252,444.363785314859,0.904658853242371,1.26981365171897,141.716261262596,140.990641807393,66.1162552544476,40.8600032472611,40.7261298549326,444.363785314859
"NR10_M",7,0.837751366090178,569.925045293571,0.871195547366034,1.24971713637327,141.446261241138,139.721641656116,65.6212552151085,41.3550032866002,41.5800049567225,569.925045293571
"NR10_M",28,0.904674237895995,491.040039024354,0.903920606469975,1.26191646211768,141.48001124382,140.643016765953,64.4625051230193,40.7362532374263,40.7497548577489,491.040039024354
"NR10_M",56,0.91564602798083,479.913788140119,0.903496602820393,1.25593104713705,141.153761217892,140.987266806991,64.6875051409007,40.7700032401086,40.8273798670026,479.913788140119
"NR10_M",140,0.924061463448939,502.852539963127,0.896937696354488,1.25109915307196,139.218761064112,139.519141631976,64.5187551274897,41.816253323257,41.839879987702,502.852539963127
"NR11_F",0,0.92956757768626,502.166289908589,0.947563432637164,1.29523896503892,145.642511574626,145.314017322779,61.0537548521162,41.5800033044816,42.0086300078185,502.166289908589
"NR11_F",3,0.940535723127197,460.845036624671,0.898647317823059,1.25032981092242,140.625011175871,141.685891890273,62.3925049585105,41.163753271401,40.6417548448743,460.845036624671
"NR11_F",7,0.9453768463421,452.351285949648,0.940669003598132,1.29727370224446,144.641261495054,144.132767181963,62.1900049424172,42.2100033545495,42.1132550202908,452.351285949648
"NR11_F",28,0.925693469610311,503.628790024818,0.943387654922408,1.28910710607287,149.051261845529,150.346142922655,62.4937549665571,41.6362533089519,41.5260049502852,503.628790024818
"NR11_F",56,0.938613815105232,492.210039117337,0.941552690588883,1.29193751303632,149.490011880398,147.622517597974,64.4737551239134,41.4562532946468,41.299879923329,492.210039117337
"NR11_F",140,0.926958327286529,523.06879156977,0.96636208221907,1.31958242044284,154.698762294352,155.300643513278,60.5925048154593,44.5837535431982,44.2530052753689,523.06879156977
"NR12_F",0,0.920339813365515,495.371289368571,0.932086617322796,1.28863046081345,144.281261466444,143.336267087013,61.2675048691035,39.3075031238795,39.4841297068747,495.371289368571
"NR12_F",3,0.950278401875549,460.361286586226,0.985093402872308,1.30734526023286,152.268762101233,151.777143093244,58.9500046849252,40.0500031828881,39.6967547322216,460.361286586226
"NR12_F",7,0.835076555077909,554.557544072271,0.952770509372498,1.2969285381728,146.553761647046,146.684267486126,59.4562547251583,39.1162531086803,39.3356296891721,554.557544072271
"NR12_F",28,0.907010775575363,482.996288385094,0.918725654898253,1.26765565870114,141.941261280477,142.357516970337,61.5825048941375,40.353753207028,40.5506298340114,482.996288385094
"NR12_F",56,0.928273298025324,501.648789867462,0.950606673228711,1.29475872615617,147.645011733771,146.289392439053,64.9237551596762,41.3100032830239,41.3572549301686,501.648789867462
"NR12_F",140,0.927832470266887,512.516290731133,0.963237616017943,1.28115488086433,151.908762072623,151.108893013582,62.8650049960614,41.5237533000112,41.6070049599411,512.516290731133
"NR2_F",0,0.900877361204334,497.216289515198,0.894777927628755,1.25971649295313,139.106261055172,139.708141654507,64.9575051623584,40.196253194511,40.1557547869386,497.216289515198
"NR2_F",3,0.910850215954375,497.362539526821,0.923644936618871,1.29306943818138,141.322511231303,142.411516976774,64.3837551167608,40.5337532213331,40.6620048472883,497.362539526821
"NR2_F",7,0.911669905673792,495.382539369465,0.946613067114459,1.28537196850184,144.056261448562,144.159767185182,67.9500054001809,40.7475032383204,40.6552548464837,495.382539369465
"NR2_F",28,0.905260934364475,500.861289804877,0.95687179365134,1.30480411797325,145.665011576414,145.712267370254,67.792505387664,41.2875032812358,41.5563799539061,500.861289804877
"NR2_F",56,0.91563453184213,507.58879033953,0.936343349131074,1.26516727433637,147.195011698008,146.947517517508,70.5937556102873,43.740003476143,43.6252552005353,507.58879033953
"NR2_F",140,0.921459650751291,505.035040136576,0.949254664874515,1.29466413959728,147.465011719465,147.146642541245,58.8487546768785,42.4912533769012,42.9266301172527,505.035040136576
"NR3_F",0,0.917385510905393,498.656289629639,0.938192012922005,1.29791593905284,148.038761765063,148.020767645449,66.4650052821637,43.59375346452,43.5341301896723,498.656289629639
